train_stop_id,trip_id,stop_sequence,stop_id,arrival_time,departure_time,no_exit,no_entry,border_control,_c9,_c10,_c11,_c12,_c13,_c14,_c15,_c16,_c17,_c18,_c19,_c20,_c21,_c22,_c23,_c24,_c25
ATC IR 11500:0,ATC IR 11500,0.0,Arad,,2026-02-27 19:05:00,0.0,0.0,,,,,,,,,,,,,,,,,,
ATC IR 11500:1,ATC IR 11500,1.0,Timişoara Nord,,2026-02-27 20:41:00,0.0,0.0,,,,,,,,,,,,,,,,,,
ATC IR 11500:2,ATC IR 11500,2.0,Lugoj,,2026-02-27 22:07:00,0.0,0.0,,,,,,,,,,,,,,,,,,
ATC IR 11500:3,ATC IR 11500,3.0,Caransebeș,,2026-02-27 23:08:00,0.0,0.0,,,,,,,,,,,,,,,,,,
ATC IR 11500:4,ATC IR 11500,4.0,Craiova,2026-02-27 03:35:00,,0.0,0.0,,,,,,,,,,,,,,,,,,
ATC IR 11500:5,ATC IR 11500,5.0,Caracal,2026-02-27 04:29:00,,0.0,0.0,,,,,,,,,,,,,,,,,,
ATC IR 11500:6,ATC IR 11500,6.0,Roșiori Nord,2026-02-27 05:40:00,,0.0,0.0,,,,,,,,,,,,,,,,,,
ATC IR 11500:7,ATC IR 11500,7.0,Videle,2026-02-27 06:40:00,,0.0,0.0,,,,,,,,,,,,,,,,,,
ATC IR 11500:99,ATC IR 11500,99.0,București Nord,2026-02-27 07:29:00,,0.0,0.0,,,,,,,,,,,,,,,,,,
ATC IR 11501:0,ATC IR 11501,0.0,București Nord,,2026-02-27 19:28:00,0.0,0.0,,,,,,,,,,,,,,,,,,
ATC IR 11501:1,ATC IR 11501,1.0,Videle,,2026-02-27 20:23:00,0.0,0.0,,,,,,,,,,,,,,,,,,
ATC IR 11501:2,ATC IR 11501,2.0,Roșiori Nord,,2026-02-27 21:12:00,0.0,0.0,,,,,,,,,,,,,,,,,,
ATC IR 11501:3,ATC IR 11501,3.0,Caracal,,2026-02-27 22:30:00,0.0,0.0,,,,,,,,,,,,,,,,,,
ATC IR 11501:4,ATC IR 11501,4.0,Craiova,,2026-02-27 23:34:00,0.0,0.0,,,,,,,,,,,,,,,,,,
ATC IR 11501:5,ATC IR 11501,5.0,Caransebeș,2026-02-27 04:04:00,,0.0,0.0,,,,,,,,,,,,,,,,,,
ATC IR 11501:6,ATC IR 11501,6.0,Lugoj,2026-02-27 05:06:00,,0.0,0.0,,,,,,,,,,,,,,,,,,
ATC IR 11501:7,ATC IR 11501,7.0,Timişoara Nord,2026-02-27 06:33:00,,0.0,0.0,,,,,,,,,,,,,,,,,,
ATC IR 11501:99,ATC IR 11501,99.0,Arad,2026-02-27 08:15:00,,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2626:0,BDŽ 2626,0.0,Varna,,2026-02-27 21:40:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2626:1,BDŽ 2626,1.0,Beloslav,2026-02-27 21:57:00,2026-02-27 21:58:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2626:2,BDŽ 2626,2.0,Poveljanovo,2026-02-27 22:03:00,2026-02-27 22:21:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 2626:3,BDŽ 2626,3.0,Sindel,2026-02-27 22:28:00,2026-02-27 22:29:00,0.0,0.0,,,,,,,,,,,,,,,,,,
